Variable, Year, value, ymin, ymax
Cur_B0,NA,0.2127,0.165124,0.260276
Cur_Bmsy,NA,0.652682,0.520636,0.784728
Cur_90,NA,1.18856,0.941575,1.43555
aveRY_90,NA,148.897,128.181,169.614
aveRY_last5,NA,167.756,137.164,198.349
R,1964,18.6585,16.8351,20.6794
SSB,1964,2764.51,2494.34,3063.93
R,1965,18.6276,16.8043,20.6487
SSB,1965,2722.28,2452.35,3021.91
R,1966,27.4551,21.3991,35.2249
SSB,1966,2558.4,2289.53,2858.86
R,1967,38.5571,30.9224,48.0768
SSB,1967,2322.27,2062.99,2614.13
R,1968,33.2797,26.2992,42.113
SSB,1968,2167.22,1930.64,2432.8
R,1969,38.3566,30.8056,47.7586
SSB,1969,1961.56,1752.08,2196.09
R,1970,28.3106,22.0288,36.3837
SSB,1970,1989.92,1802.2,2197.19
R,1971,21.2415,16.0634,28.0886
SSB,1971,1962.21,1796.32,2143.41
R,1972,27.7633,21.9626,35.0962
SSB,1972,1920.52,1768.32,2085.81
R,1973,27.4715,21.841,34.5535
SSB,1973,1592.43,1443.17,1757.11
R,1974,22.6464,17.7477,28.8972
SSB,1974,1390.14,1245.53,1551.54
R,1975,18.5635,14.4403,23.8642
SSB,1975,1350.49,1218.38,1496.92
R,1976,18.4251,14.4297,23.5269
SSB,1976,1295.55,1179.4,1423.13
R,1977,11.8886,8.78986,16.0798
SSB,1977,1077.03,973.631,1191.4
R,1978,10.3551,7.4228,14.4459
SSB,1978,964.764,865.344,1075.61
R,1979,9.83588,6.90132,14.0183
SSB,1979,846.836,743.11,965.04
R,1980,10.9269,7.51797,15.8817
SSB,1980,743.832,634.524,871.971
R,1981,29.0993,22.731,37.2517
SSB,1981,747.907,636.659,878.593
R,1982,27.8516,21.7781,35.6188
SSB,1982,763.6,659.969,883.504
R,1983,17.5282,13.1896,23.2941
SSB,1983,808.51,712.004,918.097
R,1984,19.2081,14.8887,24.7806
SSB,1984,906.119,800.157,1026.11
R,1985,16.846,12.579,22.5604
SSB,1985,955.413,835.744,1092.22
R,1986,9.35238,5.94931,14.7021
SSB,1986,924.404,802.537,1064.78
R,1987,8.77731,5.93986,12.9702
SSB,1987,844.561,730.805,976.025
R,1988,10.9969,8.4282,14.3486
SSB,1988,775.53,675.121,890.874
R,1989,4.65255,3.40409,6.35888
SSB,1989,623.871,539.864,720.95
R,1990,7.32156,5.75855,9.30881
SSB,1990,471.846,402.709,552.853
R,1991,6.89099,5.53764,8.57509
SSB,1991,469.428,407.048,541.367
R,1992,5.79899,4.67338,7.19569
SSB,1992,524.194,465.219,590.644
R,1993,6.89464,5.65939,8.3995
SSB,1993,541.779,486.36,603.513
R,1994,8.84762,7.46854,10.4813
SSB,1994,533.008,481.13,590.48
R,1995,7.60736,6.2344,9.28269
SSB,1995,525.613,476.974,579.212
R,1996,7.37821,6.02117,9.04111
SSB,1996,514.41,468.418,564.917
R,1997,7.40057,6.00675,9.11782
SSB,1997,512.317,468.96,559.682
R,1998,9.04764,7.48049,10.9431
SSB,1998,524.164,483.507,568.239
R,1999,7.12555,5.73608,8.85161
SSB,1999,547.934,510.381,588.25
R,2000,7.88233,6.42092,9.67637
SSB,2000,518.837,483.736,556.487
R,2001,11.0001,9.27842,13.0413
SSB,2001,496.747,463.058,532.887
R,2002,9.97486,8.39996,11.8451
SSB,2002,473.94,441.779,508.442
R,2003,8.67706,7.20226,10.4538
SSB,2003,488.714,456.786,522.873
R,2004,9.03967,7.48224,10.9213
SSB,2004,479.74,445.076,517.104
R,2005,7.40465,5.96095,9.19799
SSB,2005,481.828,442.95,524.119
R,2006,11.073,9.11083,13.4579
SSB,2006,487.242,444.273,534.367
R,2007,10.2828,8.41528,12.5647
SSB,2007,511.225,464.545,562.596
R,2008,8.62856,7.04889,10.5622
SSB,2008,555.703,504.619,611.959
R,2009,7.0107,5.57606,8.81446
SSB,2009,605.336,548.118,668.526
R,2010,7.39638,5.832,9.38039
SSB,2010,627.468,564.892,696.975
R,2011,7.85848,6.23254,9.9086
SSB,2011,620.998,555.504,694.214
R,2012,7.32039,5.76911,9.28881
SSB,2012,596.749,529.93,671.993
R,2013,7.30634,5.77419,9.24503
SSB,2013,568.802,500.954,645.839
R,2014,8.50053,6.7136,10.7631
SSB,2014,538.184,469.507,616.906
R,2015,11.1213,8.92735,13.8543
SSB,2015,530.874,462.321,609.592
R,2016,8.40195,6.67233,10.5799
SSB,2016,525.118,457.084,603.279
R,2017,7.77288,6.12589,9.86268
SSB,2017,524.241,454.606,604.542
R,2018,9.1865,7.17991,11.7539
SSB,2018,525.265,452.06,610.326
R,2019,11.5438,8.91524,14.9475
SSB,2019,520.09,444.509,608.523
R,2020,9.91502,7.18023,13.6914
SSB,2020,521.338,444.369,611.639
R,2021,9.80196,6.65521,14.4366
SSB,2021,562.752,480.678,658.84
R,2022,4.93853,2.77144,8.80017
SSB,2022,591.588,498.324,702.306
R,2023,13.3601,5.17189,34.5121
SSB,2023,588.01,478.592,722.444
