Year,0,1,2,3,4,5,6,7,8,9,Source
1990,0.0305,0.2496,0.5438,0.0694,0.0578,0.0135,0.0198,0.0156,0,NA,Original
1991,0.0054,0.2219,0.2838,0.2847,0.1158,0.0552,0.017,0.0097,0.0065,NA,Original
1992,0.1104,0.4887,0.1866,0.074,0.0579,0.0492,0.0108,0.0119,0.0105,NA,Original
1993,0,0.0494,0.5641,0.2681,0.0577,0.0363,0.0182,0.0057,0.0006,NA,Original
1994,0.0053,0.3114,0.4847,0.0157,0.0896,0.0169,0.0458,0.0292,0.0014,NA,Original
1995,0.0009,0.5432,0.2723,0.0704,0.0614,0.0251,0.0074,0.019,0.0003,NA,Original
1996,0.0396,0.1805,0.4921,0.1094,0.0761,0.031,0.0689,0.0024,0,NA,Original
1997,0,0.202,0.5226,0.1367,0.0675,0.0556,0.013,0.0026,0,NA,Original
1998,0.0318,0.3125,0.4483,0.0053,0.1462,0.0053,0.0378,0.0128,0,NA,Original
1999,0.2528,0.2666,0.299,0.1145,0.0415,0.0166,0.005,0.0027,0.0013,NA,Original
2000,0.0219,0.2133,0.5554,0.1586,0.0207,0.0232,0.0042,0.0025,0.0002,NA,Original
2001,0.0413,0.2062,0.4479,0.2059,0.0548,0.0334,0.0068,0.0026,0.0011,NA,Original
2002,0.3297,0.5293,0.1105,0.0114,0.0118,0.0038,0.002,0.0009,0.0006,NA,Original
2003,0.0403,0.3647,0.3658,0.1663,0.0445,0.0123,0.0032,0.0008,0.0021,NA,Original
2004,0.0503,0.6562,0.2285,0.0431,0.0154,0.0045,0.0015,0.0004,0.0002,NA,Original
2005,0.0003,0.0067,0.3395,0.4958,0.1013,0.0417,0.0117,0.0014,0.0016,NA,Original
2006,0.0008,0.1265,0.5778,0.2177,0.0617,0.0119,0.003,0.0005,0.0001,NA,Original
2007,0.0069,0.7013,0.2095,0.051,0.0201,0.0062,0.0028,0.0016,0.0005,NA,Original
2008,0.1462,0.1213,0.4934,0.1319,0.0382,0.0331,0.0334,0.0025,0,NA,Original
2009,0.0202,0.221,0.6105,0.0459,0.0868,0.0156,0,0,0,NA,Original
2010,0.2,0.1713,0.4274,0.0425,0.0843,0.011,0.0147,0.0489,0,NA,Original
2011,0.22,0.29,0.25,0.14,0.05,0.03,0.01,0.01,0,NA,Original
