Year,0,1,2,3,4,5,6,7,8,9,Source
1997,0,0,0,0.2673,0.4284,0.1808,0.1018,0.0216,0,NA,Original
1998,0.0004,0.0017,0.0347,0.0593,0.4551,0.3461,0.0293,0.0669,0.0064,NA,Original
1999,0.0022,0.0174,0.1284,0.2072,0.2694,0.1892,0.1007,0.0564,0.0291,NA,Original
2000,0.0003,0.0053,0.0383,0.1873,0.3358,0.3074,0.0768,0.0408,0.008,NA,Original
2001,0.0004,0.0078,0.1261,0.2641,0.3455,0.1911,0.0441,0.0132,0.0076,NA,Original
2002,0.0004,0.0639,0.2403,0.1882,0.3013,0.1366,0.0414,0.0174,0.0105,NA,Original
2003,0.0038,0.0355,0.2242,0.2592,0.2571,0.1436,0.0429,0.0155,0.0182,NA,Original
2004,0.0002,0.0187,0.0942,0.3665,0.3124,0.1376,0.0494,0.0141,0.0069,NA,Original
2005,0,0.0015,0.0513,0.3874,0.4029,0.1222,0.0255,0.0032,0.006,NA,Original
2006,0,0.0027,0.0634,0.332,0.4331,0.1292,0.0334,0.0046,0.0016,NA,Original
2007,0.0003,0.0103,0.1037,0.2942,0.3072,0.1599,0.0766,0.0366,0.0111,NA,Original
2008,0,0.0032,0.018,0.2396,0.4764,0.1898,0.0669,0.006,0,NA,Original
2009,0,0,0.1078,0.3616,0.2771,0.1813,0.047,0.0251,0,NA,Original
2010,0.0001,0.0142,0.1392,0.4391,0.279,0.0922,0.022,0.009,0.0053,NA,Original
2011,0,0.0043,0.0489,0.2228,0.2782,0.1899,0.135,0.0558,0.065,NA,Original
2012,0.0003,0.0315,0.2453,0.168,0.3431,0.1151,0.0489,0.0199,0.0279,NA,Original
2013,0.0001,0.0132,0.1667,0.2574,0.2975,0.1379,0.0692,0.0256,0.0326,NA,Original
2014,0.0002,0.0387,0.1658,0.2365,0.2068,0.174,0.1387,0.0241,0.0152,NA,Original
2015,0.0002,0.0153,0.2183,0.3118,0.263,0.0886,0.0607,0.024,0.0182,NA,Original
2016,0.0013,0.1245,0.3039,0.2714,0.1478,0.0926,0.037,0.0153,0.0063,NA,Original
2017,0.0004,0.0664,0.3206,0.299,0.194,0.0824,0.0274,0.0066,0.0032,NA,Original
2018,0.0002,0.1022,0.1754,0.4511,0.1885,0.0613,0.0133,0.0038,0.0044,NA,Original
2019,0.0001,0.0704,0.3046,0.329,0.1768,0.0723,0.0311,0.0096,0.0061,NA,Original
2020,0.0001,0.1087,0.3972,0.318,0.1319,0.0341,0.0053,0.0025,0.0001,NA,Original
2021,0.0058,0.0945,0.345,0.2972,0.2057,0.0389,0.0094,0.002,0.0009,NA,Original
2022,0.0044,0.1114,0.3911,0.2921,0.1589,0.0306,0.0086,0.0018,0.0008,NA,Original
2023,0.0033,0.0071,0.2359,0.4308,0.2625,0.0496,0.0062,0.0005,0.0006,NA,Original
1997,0.000240102,0.0057453,0.06637088,0.24076996,0.349547848,0.201797122,0.080642093,0.032524653,0.014251289,0.008110754,New
1998,0.000237298,0.008465704,0.043063971,0.153590447,0.363070283,0.253879173,0.103445366,0.041071022,0.020078086,0.01309865,New
1999,0.002165728,0.017387503,0.128434965,0.207181175,0.269427883,0.18923653,0.100694971,0.05643536,0.019008481,0.010027403,New
2000,0.000273422,0.005268101,0.038288392,0.187302626,0.335774263,0.307386788,0.076770077,0.040793693,0.004642587,0.003500049,New
2001,0.001517673,0.026774666,0.125291448,0.249838256,0.315995489,0.18986524,0.052972532,0.025922142,0.007736651,0.004085903,New
2002,0.000350354,0.06385422,0.240345067,0.188245655,0.301314958,0.136624477,0.041428581,0.017371233,0.007489459,0.002975996,New
2003,0.003848962,0.03547661,0.224186991,0.259220069,0.257075097,0.143564384,0.042853589,0.015504445,0.010358899,0.007910954,New
2004,0.000242822,0.018746782,0.094191966,0.366474944,0.312368489,0.137587825,0.049377949,0.014058057,0.003781556,0.003169609,New
2005,1.27544E-05,0.001515729,0.05128722,0.3874147,0.402886368,0.122213611,0.02551503,0.003188763,0.004059159,0.001906666,New
2006,1.7307E-05,0.002702413,0.063364256,0.331981205,0.433127959,0.129209204,0.033419212,0.004596118,0.00083719,0.000745137,New
2007,0.000276817,0.010304855,0.103737419,0.2941671,0.307199783,0.159944237,0.076630659,0.036596781,0.007922221,0.003220128,New
2008,0.000118882,0.013397186,0.09353428,0.242083469,0.366289048,0.1949108,0.058894814,0.017098276,0.009662739,0.004010507,New
2009,0.000222674,0.023002868,0.141992906,0.268408061,0.293387968,0.151654832,0.068218158,0.027178306,0.017135372,0.008798855,New
2010,8.71378E-05,0.014182629,0.139156619,0.439067335,0.27902406,0.092198487,0.021961923,0.009027724,0.003591223,0.001702863,New
2011,2.08256E-05,0.004326842,0.048926544,0.2228338,0.278199658,0.189855962,0.135035813,0.055832732,0.041882522,0.023085302,New
2012,0.000322012,0.031453047,0.245312424,0.167961781,0.343113006,0.11514402,0.048928312,0.019866566,0.016759217,0.011139615,New
2013,0.000125387,0.013175778,0.166683953,0.257398451,0.297454679,0.137854772,0.06919543,0.025558994,0.016066616,0.01648594,New
2014,0.000164385,0.038681053,0.165774371,0.236526301,0.206831399,0.174034414,0.13870589,0.024074214,0.007424612,0.007783362,New
2015,0.000204919,0.015267885,0.218265368,0.311774044,0.26298456,0.088605943,0.06067754,0.023973173,0.006713256,0.011533311,New
2016,0.001262551,0.124496275,0.303861098,0.271414876,0.147768019,0.092625092,0.036968965,0.015349906,0.003383384,0.002869835,New
2017,0.00044245,0.073666593,0.350495645,0.308638011,0.167909442,0.067392608,0.022771937,0.005591896,0.00194092,0.001150497,New
2018,0.000158405,0.102162963,0.175366757,0.451093018,0.188470913,0.061279783,0.013316397,0.003766623,0.003153623,0.001231519,New
2019,9.51295E-05,0.059519361,0.300307189,0.342207056,0.181510422,0.071137631,0.029923508,0.009199664,0.002799549,0.00330049,New
2020,0.002123658,0.109032148,0.399825206,0.321910176,0.130631337,0.030484518,0.004027955,0.001779643,0.000147981,3.73787E-05,New
2021,0.005947834,0.095342403,0.34985477,0.296220606,0.202634236,0.037964067,0.00919162,0.001919409,0.000639907,0.000285149,New
2022,0.004461266,0.11144565,0.391011213,0.292078335,0.158917195,0.030846685,0.008855743,0.001683531,0.000484585,0.000215798,New
2023,0.003344482,0.00714124,0.235911719,0.430829435,0.265697483,0.049652541,0.006223181,0.000531651,0.000668267,0,New
