strata,year,biomass,cv
paradoxus,1990,29,0.29
paradoxus,1991,15,0.34
paradoxus,1992,132,0.15
paradoxus,1993,205,0.41
paradoxus,1994,181,0.19
paradoxus,1995,160,0.15
paradoxus,1996,231,0.18
paradoxus,1997,205,0.14
paradoxus,1998,209,0.2
paradoxus,1999,215,0.16
paradoxus,2000,194,0.23
paradoxus,2001,161,0.16
paradoxus,2002,124,0.17
paradoxus,2003,109,0.19
paradoxus,2004,135,0.22
paradoxus,2005,106,0.19
paradoxus,2006,164,0.18
paradoxus,2007,129,0.19
paradoxus,2008,168,0.19
paradoxus,2009,111,0.18
paradoxus,2010,84,0.19
paradoxus,2011,223,0.18
paradoxus,2012,203,0.19
paradoxus,2013,145,0.13
paradoxus,2014,132,0.13
paradoxus,2015,276,0.16
paradoxus,2016,185,0.2
paradoxus,2017,192,0.3
paradoxus,2018,210,0.37
paradoxus,2020,147,0.15
paradoxus,2021,120,0.13
paradoxus,2022,152,0.11
paradoxus,2023,141,0.17
paradoxus,2024,123,0.19
paradoxus,2025,103,0.17
capensis,1990,606,0.15
capensis,1991,603,0.15
capensis,1992,1111,0.1
capensis,1993,762,0.12
capensis,1994,655,0.15
capensis,1995,459,0.14
capensis,1996,623,0.18
capensis,1997,458,0.15
capensis,1998,1384,0.18
capensis,1999,1277,0.35
capensis,2000,1079,0.12
capensis,2001,426,0.22
capensis,2002,601,0.23
capensis,2003,667,0.16
capensis,2004,1022,0.19
capensis,2005,495,0.17
capensis,2006,734,0.14
capensis,2007,573,0.26
capensis,2008,768,0.3
capensis,2009,1365,0.13
capensis,2010,957,0.18
capensis,2011,864,0.1
capensis,2012,617,0.14
capensis,2013,1247,0.16
capensis,2014,936,0.11
capensis,2015,839,0.14
capensis,2016,824,0.15
capensis,2017,687,0.18
capensis,2018,710,0.16
capensis,2020,654,0.15
capensis,2021,768,0.18
capensis,2022,721,0.1
capensis,2023,740,0.15
capensis,2024,732,0.1
capensis,2025,762,0.19
