strata,year,biomass,cv
capensis,1990,606,0.15
capensis,1991,603,0.15
capensis,1992,1111,0.1
capensis,1993,762,0.12
capensis,1994,655,0.15
capensis,1995,459,0.14
capensis,1996,623,0.18
capensis,1997,458,0.15
capensis,1998,1384,0.18
capensis,1999,1277,0.35
capensis,2000,1079,0.12
capensis,2001,426,0.22
capensis,2002,601,0.23
capensis,2003,667,0.16
capensis,2004,1022,0.19
capensis,2005,495,0.17
capensis,2006,734,0.14
capensis,2007,573,0.26
capensis,2008,768,0.3
capensis,2009,1365,0.13
capensis,2010,957,0.18
capensis,2011,864,0.1
capensis,2012,617,0.14
capensis,2013,1247,0.16
capensis,2014,936,0.11
capensis,2015,839,0.14
capensis,2016,824,0.15
capensis,2017,687,0.18
capensis,2018,710,0.16
capensis,2020,654,0.15
capensis,2021,768,0.18
capensis,2022,721,0.1
capensis,2023,740,0.15
capensis,2024,732,0.1
