strata,year,biomass,cv
paradoxus,1990,29,0.29
paradoxus,1991,15,0.34
paradoxus,1992,132,0.15
paradoxus,1993,205,0.41
paradoxus,1994,181,0.19
paradoxus,1995,160,0.15
paradoxus,1996,231,0.18
paradoxus,1997,205,0.14
paradoxus,1998,209,0.2
paradoxus,1999,215,0.16
paradoxus,2000,194,0.23
paradoxus,2001,161,0.16
paradoxus,2002,124,0.17
paradoxus,2003,109,0.19
paradoxus,2004,135,0.22
paradoxus,2005,106,0.19
paradoxus,2006,164,0.18
paradoxus,2007,129,0.19
paradoxus,2008,168,0.19
paradoxus,2009,111,0.18
paradoxus,2010,84,0.19
paradoxus,2011,223,0.18
paradoxus,2012,203,0.19
paradoxus,2013,145,0.13
paradoxus,2014,132,0.13
paradoxus,2015,276,0.16
paradoxus,2016,185,0.2
paradoxus,2017,192,0.3
paradoxus,2018,210,0.37
paradoxus,2020,147,0.15
paradoxus,2021,120,0.13
paradoxus,2022,152,0.11
paradoxus,2023,141,0.17
paradoxus,2024,123,0.19
