strata,year,biomass,cv
1,1990,606,0.15
1,1991,603,0.15
1,1992,1111,0.1
1,1993,762,0.12
1,1994,655,0.15
1,1995,459,0.14
1,1996,623,0.18
1,1997,458,0.15
1,1998,1384,0.18
1,1999,1277,0.35
1,2000,1079,0.12
1,2001,426,0.22
1,2002,601,0.23
1,2003,667,0.16
1,2004,1022,0.19
1,2005,495,0.17
1,2006,734,0.14
1,2007,573,0.26
1,2008,768,0.3
1,2009,1365,0.13
1,2010,957,0.18
1,2011,864,0.1
1,2012,617,0.14
1,2013,1247,0.16
1,2014,936,0.11
1,2015,839,0.14
1,2016,824,0.15
1,2017,687,0.18
1,2018,710,0.16
1,2020,654,0.15
