year	b_bmsy
1964	2.08433
1965	1.95383
1966	1.82966
1967	1.8885
1968	1.88129
1969	1.92341
1970	1.9077
1971	1.86262
1972	1.58726
1973	1.31161
1974	1.23092
1975	1.25187
1976	1.11425
1977	0.98768
1978	0.88835
1979	0.79659
1980	0.77735
1981	0.78946
1982	0.76733
1983	0.82478
1984	0.9618
1985	0.94135
1986	0.84669
1987	0.84867
1988	0.7677
1989	0.64902
1990	0.65327
1991	0.74569
1992	0.81975
1993	0.80851
1994	0.74793
1995	0.66852
1996	0.63984
1997	0.67953
1998	0.74025
1999	0.71678
2000	0.67722
2001	0.62627
2002	0.60166
2003	0.59332
2004	0.61727
2005	0.64307
2006	0.66145
2007	0.6837
2008	0.75182
2009	0.81587
2010	0.8479
2011	0.82412
2012	0.78468
2013	0.76794
2014	0.79598
2015	0.83139
2016	0.84188
2017	0.87157
2018	0.89548
2019	0.88378
2020	0.88107
2021	0.95445
