strata,year,biomass,cv
1,1990,29,0.29
1,1991,15,0.34
1,1992,132,0.15
1,1993,205,0.41
1,1994,181,0.19
1,1995,160,0.15
1,1996,231,0.18
1,1997,205,0.14
1,1998,209,0.2
1,1999,215,0.16
1,2000,194,0.23
1,2001,161,0.16
1,2002,124,0.17
1,2003,109,0.19
1,2004,135,0.22
1,2005,106,0.19
1,2006,164,0.18
1,2007,129,0.19
1,2008,168,0.19
1,2009,111,0.18
1,2010,84,0.19
1,2011,223,0.18
1,2012,203,0.19
1,2013,145,0.13
1,2014,132,0.13
1,2015,276,0.16
1,2016,185,0.2
1,2017,192,0.3
1,2018,210,0.37
1,2020,147,0.15
