Variable, Year, value, ymin, ymax
Cur_B0,NA,0.202518,0.134916,0.270121
Cur_Bmsy,NA,0.651876,0.460696,0.843055
Cur_90,NA,0.978179,0.754235,1.20212
aveRY_90,NA,142.712,116.147,169.277
aveRY_last5,NA,145.036,114.914,175.158
R,1964,22.4907,18.9896,26.6373
SSB,1964,3332.29,2813.56,3946.66
Depletion,1964,1,1,1
B_Bmsy,1964,3.21889,NA,NA
Catch,1964,47.852,NA,NA
RY,1964,2.17378e-05,NA,NA
Catch_RY,1964,2.20133e+06,NA,NA
R,1965,22.4589,18.9585,26.6055
SSB,1965,3288.86,2771.22,3903.2
Depletion,1965,0.986967,0.984952,0.988987
B_Bmsy,1965,3.17694,NA,NA
Catch,1965,193.2,NA,NA
RY,1965,5.94108,NA,NA
Catch_RY,1965,32.5193,NA,NA
R,1966,28.9215,22.5726,37.0562
SSB,1966,3118.92,2606.3,3732.36
Depletion,1966,0.935969,0.926338,0.945699
B_Bmsy,1966,3.01278,NA,NA
Catch,1966,334.627,NA,NA
RY,1966,51.9724,NA,NA
Catch_RY,1966,6.43855,NA,NA
R,1967,37.6762,30.3553,46.7628
SSB,1967,2862.32,2366.99,3461.31
Depletion,1967,0.858966,0.841282,0.877022
B_Bmsy,1967,2.76491,NA,NA
Catch,1967,394.445,NA,NA
RY,1967,171.817,NA,NA
Catch_RY,1967,2.29573,NA,NA
R,1968,32.0639,25.541,40.2526
SSB,1968,2659.34,2199.6,3215.17
Depletion,1968,0.798052,0.781787,0.814657
B_Bmsy,1968,2.56884,NA,NA
Catch,1968,630.392,NA,NA
RY,1968,315.481,NA,NA
Catch_RY,1968,1.99819,NA,NA
R,1969,38.0268,30.9919,46.6585
SSB,1969,2370.49,1966.3,2857.76
Depletion,1969,0.71137,0.698867,0.724096
B_Bmsy,1969,2.28982,NA,NA
Catch,1969,526.657,NA,NA
RY,1969,452.566,NA,NA
Catch_RY,1969,1.16371,NA,NA
R,1970,27.5043,21.5429,35.1155
SSB,1970,2298.95,1956.19,2701.77
Depletion,1970,0.689901,0.695272,0.684571
B_Bmsy,1970,2.22071,NA,NA
Catch,1970,627.198,NA,NA
RY,1970,503.259,NA,NA
Catch_RY,1970,1.24627,NA,NA
R,1971,20.1814,15.313,26.5975
SSB,1971,2178.68,1900.91,2497.05
Depletion,1971,0.65381,0.675625,0.632699
B_Bmsy,1971,2.10454,NA,NA
Catch,1971,595.215,NA,NA
RY,1971,474.135,NA,NA
Catch_RY,1971,1.25537,NA,NA
R,1972,27.2256,21.7056,34.1494
SSB,1972,2060.25,1840.04,2306.81
Depletion,1972,0.618268,0.653989,0.584498
B_Bmsy,1972,1.99013,NA,NA
Catch,1972,820.11,NA,NA
RY,1972,413.242,NA,NA
Catch_RY,1972,1.98458,NA,NA
R,1973,27.3073,21.8993,34.0507
SSB,1973,1671.14,1491.87,1871.95
Depletion,1973,0.501499,0.530245,0.474312
B_Bmsy,1973,1.61427,NA,NA
Catch,1973,667.965,NA,NA
RY,1973,411.546,NA,NA
Catch_RY,1973,1.62306,NA,NA
R,1974,22.6434,17.9074,28.6318
SSB,1974,1422.19,1269.25,1593.56
Depletion,1974,0.42679,0.451118,0.403774
B_Bmsy,1974,1.37379,NA,NA
Catch,1974,514.558,NA,NA
RY,1974,440.391,NA,NA
Catch_RY,1974,1.16841,NA,NA
R,1975,18.5337,14.5378,23.6279
SSB,1975,1355.12,1223.23,1501.24
Depletion,1975,0.406665,0.434762,0.380383
B_Bmsy,1975,1.30901,NA,NA
Catch,1975,488.208,NA,NA
RY,1975,418.188,NA,NA
Catch_RY,1975,1.16744,NA,NA
R,1976,18.5275,14.6207,23.4782
SSB,1976,1290.45,1177.42,1414.33
Depletion,1976,0.387256,0.41848,0.358362
B_Bmsy,1976,1.24653,NA,NA
Catch,1976,601.045,NA,NA
RY,1976,367.854,NA,NA
Catch_RY,1976,1.63392,NA,NA
R,1977,11.8763,8.82455,15.9835
SSB,1977,1070.42,970.556,1180.56
Depletion,1977,0.321226,0.344957,0.299128
B_Bmsy,1977,1.03399,NA,NA
Catch,1977,431.483,NA,NA
RY,1977,314.473,NA,NA
Catch_RY,1977,1.37208,NA,NA
R,1978,10.4449,7.4999,14.5464
SSB,1978,959.332,862.781,1066.69
Depletion,1978,0.28789,0.306652,0.270276
B_Bmsy,1978,0.926684,NA,NA
Catch,1978,379.39,NA,NA
RY,1978,256.951,NA,NA
Catch_RY,1978,1.47651,NA,NA
R,1979,9.99813,7.0104,14.2592
SSB,1979,843.13,741.346,958.888
Depletion,1979,0.253018,0.263491,0.242962
B_Bmsy,1979,0.814437,NA,NA
Catch,1979,310.175,NA,NA
RY,1979,204.13,NA,NA
Catch_RY,1979,1.5195,NA,NA
R,1980,11.3361,7.8142,16.4453
SSB,1980,742.312,633.945,869.204
Depletion,1980,0.222763,0.225318,0.220238
B_Bmsy,1980,0.71705,NA,NA
Catch,1980,171.848,NA,NA
RY,1980,180.139,NA,NA
Catch_RY,1980,0.953976,NA,NA
R,1981,31.1924,24.5671,39.6044
SSB,1981,750.093,638.446,881.264
