Variable, Year, value, ymin, ymax
Cur_B0,NA,0.175526,0.128603,0.222449
Cur_Bmsy,NA,0.532849,0.399567,0.66613
Cur_90,NA,0.88663,0.685799,1.08746
aveRY_90,NA,141.036,120.982,161.091
aveRY_last5,NA,147.171,120.299,174.043
R,1964,23.6995,16.0955,34.8959
SSB,1964,2851.81,2545.54,3194.92
Depletion,1964,1,1,1
B_Bmsy,1964,3.03573,NA,NA
Catch,1964,47.852,NA,NA
RY,1964,2.44926e-05,NA,NA
Catch_RY,1964,1.95373e+06,NA,NA
R,1965,23.6616,16.0684,34.8429
SSB,1965,2809.78,2503.77,3153.19
Depletion,1965,0.985262,0.983589,0.986939
B_Bmsy,1965,2.99099,NA,NA
Catch,1965,193.2,NA,NA
RY,1965,8.06796,NA,NA
Catch_RY,1965,23.9466,NA,NA
R,1966,33.2472,21.6628,51.0267
SSB,1966,2647.12,2342.14,2991.82
Depletion,1966,0.928226,0.920094,0.936429
B_Bmsy,1966,2.81784,NA,NA
Catch,1966,334.627,NA,NA
RY,1966,70.512,NA,NA
Catch_RY,1966,4.74567,NA,NA
R,1967,46.3829,31.1929,68.9699
SSB,1967,2414.62,2119.55,2750.76
Depletion,1967,0.846696,0.832652,0.860977
B_Bmsy,1967,2.57034,NA,NA
Catch,1967,394.445,NA,NA
RY,1967,227.905,NA,NA
Catch_RY,1967,1.73075,NA,NA
R,1968,39.7598,26.7568,59.0818
SSB,1968,2266.66,1992.63,2578.36
Depletion,1968,0.794814,0.782792,0.807019
B_Bmsy,1968,2.41284,NA,NA
Catch,1968,630.392,NA,NA
RY,1968,407.943,NA,NA
Catch_RY,1968,1.54529,NA,NA
R,1969,45.9407,31.4404,67.1284
SSB,1969,2066.5,1814.19,2353.9
Depletion,1969,0.724629,0.712694,0.736763
B_Bmsy,1969,2.19977,NA,NA
Catch,1969,526.657,NA,NA
RY,1969,564.693,NA,NA
Catch_RY,1969,0.932642,NA,NA
R,1970,33.8865,22.7965,50.3715
SSB,1970,2096.51,1858.35,2365.2
Depletion,1970,0.735151,0.730039,0.7403
B_Bmsy,1970,2.23172,NA,NA
Catch,1970,627.198,NA,NA
RY,1970,598.807,NA,NA
Catch_RY,1970,1.04741,NA,NA
R,1971,25.2839,16.7312,38.2086
SSB,1971,2064.3,1843.94,2311
Depletion,1971,0.723856,0.724378,0.723335
B_Bmsy,1971,2.19743,NA,NA
Catch,1971,595.215,NA,NA
RY,1971,544.357,NA,NA
Catch_RY,1971,1.09343,NA,NA
R,1972,33.1385,22.6396,48.5061
SSB,1972,2010.97,1809.14,2235.33
Depletion,1972,0.705157,0.710708,0.699649
B_Bmsy,1972,2.14066,NA,NA
Catch,1972,820.11,NA,NA
RY,1972,463.81,NA,NA
Catch_RY,1972,1.7682,NA,NA
R,1973,32.7037,22.4456,47.65
SSB,1973,1671.16,1481.41,1885.21
Depletion,1973,0.585998,0.581961,0.590064
B_Bmsy,1973,1.77893,NA,NA
Catch,1973,667.965,NA,NA
RY,1973,453.999,NA,NA
Catch_RY,1973,1.47129,NA,NA
R,1974,26.8801,18.2872,39.5107
SSB,1974,1463.2,1282.32,1669.59
Depletion,1974,0.513077,0.503751,0.522576
B_Bmsy,1974,1.55756,NA,NA
Catch,1974,514.558,NA,NA
RY,1974,470.21,NA,NA
Catch_RY,1974,1.09431,NA,NA
R,1975,21.97,14.8373,32.5315
SSB,1975,1419.68,1252.42,1609.28
Depletion,1975,0.497818,0.492006,0.5037
B_Bmsy,1975,1.51124,NA,NA
Catch,1975,488.208,NA,NA
RY,1975,424.049,NA,NA
Catch_RY,1975,1.1513,NA,NA
R,1976,21.9425,14.8554,32.4107
SSB,1976,1358.22,1209.15,1525.67
Depletion,1976,0.476266,0.475007,0.477529
B_Bmsy,1976,1.44581,NA,NA
Catch,1976,601.045,NA,NA
RY,1976,361.75,NA,NA
Catch_RY,1976,1.66149,NA,NA
R,1977,13.9012,9.01052,21.4463
SSB,1977,1133.09,999.573,1284.44
Depletion,1977,0.397323,0.392676,0.402025
B_Bmsy,1977,1.20616,NA,NA
Catch,1977,431.483,NA,NA
RY,1977,305.261,NA,NA
Catch_RY,1977,1.41349,NA,NA
R,1978,11.9986,7.55636,19.0523
SSB,1978,1013.96,888.115,1157.63
Depletion,1978,0.355548,0.34889,0.362333
B_Bmsy,1978,1.07935,NA,NA
Catch,1978,379.39,NA,NA
RY,1978,244.399,NA,NA
Catch_RY,1978,1.55234,NA,NA
R,1979,11.3025,7.03482,18.1591
SSB,1979,886.882,762.725,1031.25
Depletion,1979,0.310989,0.299631,0.322778
B_Bmsy,1979,0.944078,NA,NA
Catch,1979,310.175,NA,NA
RY,1979,189.254,NA,NA
Catch_RY,1979,1.63893,NA,NA
R,1980,12.6861,7.86095,20.4729
SSB,1980,772.959,649.156,920.372
Depletion,1980,0.271041,0.255017,0.288073
B_Bmsy,1980,0.822808,NA,NA
Catch,1980,171.848,NA,NA
RY,1980,164.625,NA,NA
Catch_RY,1980,1.04388,NA,NA
R,1981,34.6121,23.7217,50.5022
SSB,1981,765.724,645.133,908.857
Depletion,1981,0.268505,0.253436,0.284469
B_Bmsy,1981,0.815107,NA,NA
Catch,1981,211.534,NA,NA
RY,1981,225.463,NA,NA
Catch_RY,1981,0.938222,NA,NA
R,1982,33.1694,22.5897,48.7041
SSB,1982,777.727,665.784,908.491
Depletion,1982,0.272713,0.261549,0.284355
B_Bmsy,1982,0.827883,NA,NA
Catch,1982,307.078,NA,NA
RY,1982,366.605,NA,NA
Catch_RY,1982,0.837626,NA,NA
R,1983,20.5428,13.5413,31.1645
SSB,1983,829.661,717.719,959.063
Depletion,1983,0.290924,0.281951,0.300183
B_Bmsy,1983,0.883167,NA,NA
Catch,1983,339.59,NA,NA
RY,1983,458.385,NA,NA
Catch_RY,1983,0.74084,NA,NA
R,1984,23.0954,15.5364,34.3321
SSB,1984,934.877,806.092,1084.24
Depletion,1984,0.327819,0.316668,0.339363
B_Bmsy,1984,0.995169,NA,NA
Catch,1984,364.993,NA,NA
RY,1984,421.928,NA,NA
Catch_RY,1984,0.865059,NA,NA
R,1985,21.0762,13.7925,32.2064
SSB,1985,986.211,840.244,1157.54
Depletion,1985,0.345819,0.330084,0.362305
B_Bmsy,1985,1.04981,NA,NA
Catch,1985,386.184,NA,NA
RY,1985,358.2,NA,NA
Catch_RY,1985,1.07812,NA,NA
R,1986,11.3869,6.42984,20.1655
SSB,1986,958.792,806.682,1139.58
Depletion,1986,0.336205,0.3169,0.356686
B_Bmsy,1986,1.02063,NA,NA
Catch,1986,381.189,NA,NA
RY,1986,303.301,NA,NA
Catch_RY,1986,1.2568,NA,NA
R,1987,11.783,6.97826,19.896
SSB,1987,884.754,738.368,1060.16
Depletion,1987,0.310243,0.290063,0.331827
B_Bmsy,1987,0.941813,NA,NA
Catch,1987,300.249,NA,NA
RY,1987,234.895,NA,NA
Catch_RY,1987,1.27823,NA,NA
R,1988,12.4738,7.80565,19.9338
SSB,1988,822.749,690.225,980.719
Depletion,1988,0.288501,0.27115,0.306962
B_Bmsy,1988,0.875809,NA,NA
Catch,1988,336,NA,NA
RY,1988,181.778,NA,NA
Catch_RY,1988,1.8484,NA,NA
R,1989,6.18336,3.84635,9.94031
SSB,1989,677.09,560.99,817.217
Depletion,1989,0.237425,0.220381,0.255786
B_Bmsy,1989,0.720756,NA,NA
Catch,1989,309.329,NA,NA
RY,1989,150.705,NA,NA
Catch_RY,1989,2.05255,NA,NA
R,1990,8.26509,5.27558,12.9487
SSB,1990,528.433,424.208,658.266
Depletion,1990,0.185297,0.166647,0.206035
B_Bmsy,1990,0.562512,NA,NA
Catch,1990,132.379,NA,NA
RY,1990,128.288,NA,NA
Catch_RY,1990,1.03189,NA,NA
R,1991,9.0829,5.92681,13.9196
SSB,1991,524.339,423.738,648.824
Depletion,1991,0.183862,0.166463,0.20308
B_Bmsy,1991,0.558154,NA,NA
Catch,1991,56.135,NA,NA
RY,1991,111.775,NA,NA
Catch_RY,1991,0.502216,NA,NA
R,1992,7.3354,4.84149,11.114
SSB,1992,576.075,477.452,695.069
Depletion,1992,0.202003,0.187564,0.217554
B_Bmsy,1992,0.613226,NA,NA
Catch,1992,87.497,NA,NA
RY,1992,103.913,NA,NA
Catch_RY,1992,0.842021,NA,NA
R,1993,8.61692,5.73543,12.9461
SSB,1993,591.094,496.396,703.858
Depletion,1993,0.20727,0.195006,0.220305
B_Bmsy,1993,0.629214,NA,NA
Catch,1993,108,NA,NA
RY,1993,97.9068,NA,NA
Catch_RY,1993,1.10309,NA,NA
R,1994,10.3216,7.02826,15.1581
SSB,1994,581.729,492.05,687.753
Depletion,1994,0.203986,0.193299,0.215264
B_Bmsy,1994,0.619246,NA,NA
Catch,1994,112.206,NA,NA
RY,1994,103.349,NA,NA
Catch_RY,1994,1.0857,NA,NA
R,1995,8.99503,6.11662,13.228
SSB,1995,573.587,488.255,673.833
Depletion,1995,0.201131,0.191808,0.210907
B_Bmsy,1995,0.610579,NA,NA
Catch,1995,130.362,NA,NA
RY,1995,114.079,NA,NA
Catch_RY,1995,1.14273,NA,NA
R,1996,8.53394,5.77242,12.6166
SSB,1996,558.729,477.377,653.944
Depletion,1996,0.195921,0.187534,0.204682
B_Bmsy,1996,0.594762,NA,NA
Catch,1996,129.102,NA,NA
RY,1996,119.618,NA,NA
Catch_RY,1996,1.07928,NA,NA
R,1997,9.19756,6.21297,13.6159
SSB,1997,550.379,473.633,639.559
Depletion,1997,0.192993,0.186064,0.20018
B_Bmsy,1997,0.585873,NA,NA
Catch,1997,116.593,NA,NA
RY,1997,121.992,NA,NA
Catch_RY,1997,0.955741,NA,NA
R,1998,11.1752,7.66033,16.3029
SSB,1998,555.479,483.73,637.87
Depletion,1998,0.194781,0.19003,0.199651
