Variable, Year, value, ymin, ymax
Cur_B0,NA,0.187834,0.144012,0.231657
Cur_Bmsy,NA,0.673683,0.527417,0.81995
Cur_90,NA,0.932676,0.724357,1.14099
aveRY_90,NA,141.982,126.893,157.072
aveRY_last5,NA,151.13,128.419,173.841
R,1964,17.6462,16.0077,19.4523
SSB,1964,2614.51,2371.75,2882.11
Depletion,1964,1,1,1
B_Bmsy,1964,3.58658,NA,NA
Catch,1964,47.852,NA,NA
RY,1964,2.28235e-05,NA,NA
Catch_RY,1964,2.09661e+06,NA,NA
R,1965,17.6381,15.9997,19.4443
SSB,1965,2572.29,2329.76,2840.08
Depletion,1965,0.983854,0.982293,0.985417
B_Bmsy,1965,3.52867,NA,NA
Catch,1965,193.2,NA,NA
RY,1965,7.66975,NA,NA
Catch_RY,1965,25.1899,NA,NA
R,1966,28.2254,22.0828,36.0766
SSB,1966,2408.57,2166.98,2677.09
Depletion,1966,0.921231,0.913661,0.928864
B_Bmsy,1966,3.30407,NA,NA
Catch,1966,334.627,NA,NA
RY,1966,73.8629,NA,NA
Catch_RY,1966,4.53038,NA,NA
R,1967,39.6196,31.961,49.1133
SSB,1967,2178,1946.41,2437.15
Depletion,1967,0.833044,0.820662,0.845613
B_Bmsy,1967,2.98778,NA,NA
Catch,1967,394.445,NA,NA
RY,1967,240.811,NA,NA
Catch_RY,1967,1.63798,NA,NA
R,1968,33.9746,26.9911,42.765
SSB,1968,2040.8,1832.02,2273.38
Depletion,1968,0.780568,0.772431,0.788791
B_Bmsy,1968,2.79957,NA,NA
Catch,1968,630.392,NA,NA
RY,1968,435.929,NA,NA
Catch_RY,1968,1.44609,NA,NA
R,1969,38.8717,31.3663,48.1729
SSB,1969,1864.5,1680.13,2069.1
Depletion,1969,0.713136,0.708392,0.717911
B_Bmsy,1969,2.55772,NA,NA
Catch,1969,526.657,NA,NA
RY,1969,596.854,NA,NA
Catch_RY,1969,0.882388,NA,NA
R,1970,28.4238,22.1991,36.3939
SSB,1970,1924.18,1756.33,2108.07
Depletion,1970,0.735963,0.740521,0.731433
