Variable, Year, value, ymin, ymax
Cur_B0,NA,0.538543,0.440871,0.636216
Cur_Bmsy,NA,1.64508,1.41171,1.87845
Cur_90,NA,1.1332,0.911845,1.35455
aveRY_90,NA,148.238,136.388,160.088
aveRY_last5,NA,149.142,134.638,163.645
R,1964,19.6429,17.3461,22.2439
SSB,1964,2910.36,2570.05,3295.72
Depletion,1964,1,1,1
B_Bmsy,1964,3.05469,NA,NA
Catch,1964,47.852,NA,NA
RY,1964,2.63604e-05,NA,NA
Catch_RY,1964,1.8153e+06,NA,NA
R,1965,19.612,17.3154,22.2132
SSB,1965,2868.11,2528.15,3253.79
Depletion,1965,0.985485,0.983696,0.987277
B_Bmsy,1965,3.01035,NA,NA
Catch,1965,193.2,NA,NA
RY,1965,7.52093,NA,NA
Catch_RY,1965,25.6883,NA,NA
R,1966,27.0157,20.1122,36.2888
SSB,1966,2704.15,2365.66,3091.07
Depletion,1966,0.929145,0.92047,0.937902
B_Bmsy,1966,2.83825,NA,NA
Catch,1966,334.627,NA,NA
RY,1966,62.722,NA,NA
Catch_RY,1966,5.33508,NA,NA
R,1967,37.9686,29.2604,49.2684
SSB,1967,2463.59,2136.16,2841.2
Depletion,1967,0.846489,0.831174,0.862086
B_Bmsy,1967,2.58576,NA,NA
Catch,1967,394.445,NA,NA
RY,1967,205.004,NA,NA
Catch_RY,1967,1.92408,NA,NA
R,1968,32.5706,24.6349,43.0627
SSB,1968,2294.5,1992.96,2641.66
Depletion,1968,0.788389,0.775453,0.801541
B_Bmsy,1968,2.40828,NA,NA
Catch,1968,630.392,NA,NA
RY,1968,376.303,NA,NA
Catch_RY,1968,1.67522,NA,NA
R,1969,37.7112,29.1263,48.8266
SSB,1969,2064.81,1796.07,2373.75
Depletion,1969,0.709468,0.698846,0.720253
B_Bmsy,1969,2.1672,NA,NA
Catch,1969,526.657,NA,NA
RY,1969,532.262,NA,NA
Catch_RY,1969,0.989469,NA,NA
R,1970,27.8984,20.7481,37.5131
SSB,1970,2065.07,1825.07,2336.64
