Variable, Year, value, ymin, ymax
Cur_B0,NA,0.24475,0.197133,0.292367
Cur_Bmsy,NA,0.742585,0.621047,0.864123
Cur_90,NA,1.0168,0.810232,1.22336
aveRY_90,NA,143.234,131.522,154.946
aveRY_last5,NA,155.966,139.321,172.611
R,1964,19.048,17.0139,21.3253
SSB,1964,2822.21,2520.83,3159.62
Depletion,1964,1,1,1
B_Bmsy,1964,3.03405,NA,NA
Catch,1964,47.852,NA,NA
RY,1964,2.49097e-05,NA,NA
Catch_RY,1964,1.92102e+06,NA,NA
R,1965,19.0171,16.9831,21.2946
SSB,1965,2779.98,2478.89,3117.64
Depletion,1965,0.985035,0.983359,0.986713
B_Bmsy,1965,2.98865,NA,NA
Catch,1965,193.2,NA,NA
RY,1965,7.54278,NA,NA
Catch_RY,1965,25.6139,NA,NA
R,1966,27.201,21.1136,35.0436
SSB,1966,2616.07,2316.22,2954.73
Depletion,1966,0.926955,0.918829,0.935153
B_Bmsy,1966,2.81243,NA,NA
Catch,1966,334.627,NA,NA
RY,1966,65.3879,NA,NA
Catch_RY,1966,5.11757,NA,NA
R,1967,38.3709,30.6821,47.9866
SSB,1967,2377.94,2088.48,2707.52
Depletion,1967,0.84258,0.828489,0.856912
B_Bmsy,1967,2.55643,NA,NA
Catch,1967,394.445,NA,NA
RY,1967,213.85,NA,NA
Catch_RY,1967,1.8445,NA,NA
R,1968,33.0627,26.0381,41.9825
SSB,1968,2216.96,1952.57,2517.15
Depletion,1968,0.78554,0.774574,0.796661
B_Bmsy,1968,2.38337,NA,NA
Catch,1968,630.392,NA,NA
RY,1968,391.877,NA,NA
Catch_RY,1968,1.60865,NA,NA
R,1969,38.3341,30.7151,47.843
SSB,1969,2001.78,1769.58,2264.45
Depletion,1969,0.709294,0.701981,0.716682
B_Bmsy,1969,2.15203,NA,NA
Catch,1969,526.657,NA,NA
RY,1969,551.165,NA,NA
Catch_RY,1969,0.955535,NA,NA
R,1970,28.2871,21.9249,36.4954
SSB,1970,2020.25,1815.61,2247.96
Depletion,1970,0.71584,0.720242,0.711464
B_Bmsy,1970,2.17189,NA,NA
Catch,1970,627.198,NA,NA
RY,1970,595.609,NA,NA
Catch_RY,1970,1.05304,NA,NA
R,1971,21.1383,15.8933,28.1142
SSB,1971,1984.98,1806.42,2181.19
Depletion,1971,0.703341,0.716596,0.690332
B_Bmsy,1971,2.13397,NA,NA
Catch,1971,595.215,NA,NA
RY,1971,551.878,NA,NA
Catch_RY,1971,1.07853,NA,NA
R,1972,27.8392,21.9511,35.3068
SSB,1972,1938.11,1775.87,2115.18
Depletion,1972,0.686736,0.704478,0.669441
B_Bmsy,1972,2.08359,NA,NA
Catch,1972,820.11,NA,NA
RY,1972,476.578,NA,NA
Catch_RY,1972,1.72083,NA,NA
R,1973,27.5614,21.8426,34.7774
SSB,1973,1606.64,1448.95,1781.51
Depletion,1973,0.569285,0.574788,0.563835
B_Bmsy,1973,1.72724,NA,NA
Catch,1973,667.965,NA,NA
RY,1973,460.851,NA,NA
Catch_RY,1973,1.44942,NA,NA
R,1974,22.6938,17.7104,29.0794
SSB,1974,1402.54,1250.3,1573.31
Depletion,1974,0.496964,0.495988,0.497941
B_Bmsy,1974,1.50781,NA,NA
Catch,1974,514.558,NA,NA
RY,1974,474.836,NA,NA
Catch_RY,1974,1.08365,NA,NA
R,1975,18.5197,14.332,23.9308
SSB,1975,1362.21,1223.1,1517.15
Depletion,1975,0.482675,0.485195,0.480167
B_Bmsy,1975,1.46446,NA,NA
Catch,1975,488.208,NA,NA
RY,1975,431.849,NA,NA
Catch_RY,1975,1.13051,NA,NA
R,1976,18.4953,14.4266,23.7115
SSB,1976,1306.87,1184.48,1441.91
Depletion,1976,0.463066,0.469875,0.456355
B_Bmsy,1976,1.40496,NA,NA
Catch,1976,601.045,NA,NA
RY,1976,371.352,NA,NA
Catch_RY,1976,1.61853,NA,NA
R,1977,11.7108,8.58073,15.9827
SSB,1977,1087.8,978.961,1208.73
Depletion,1977,0.385441,0.388348,0.382556
B_Bmsy,1977,1.16945,NA,NA
Catch,1977,431.483,NA,NA
RY,1977,313.172,NA,NA
Catch_RY,1977,1.37778,NA,NA
R,1978,10.1085,7.15189,14.2875
SSB,1978,974.392,870.259,1090.98
Depletion,1978,0.345258,0.345227,0.345289
B_Bmsy,1978,1.04753,NA,NA
Catch,1978,379.39,NA,NA
RY,1978,253.345,NA,NA
Catch_RY,1978,1.49752,NA,NA
R,1979,9.58526,6.61285,13.8937
SSB,1979,854.059,746.196,977.514
Depletion,1979,0.30262,0.296012,0.309377
B_Bmsy,1979,0.918166,NA,NA
Catch,1979,310.175,NA,NA
RY,1979,197.992,NA,NA
Catch_RY,1979,1.5666,NA,NA
R,1980,10.8399,7.32251,16.0469
SSB,1980,746.929,633.909,880.101
Depletion,1980,0.264661,0.251468,0.278546
B_Bmsy,1980,0.802995,NA,NA
Catch,1980,171.848,NA,NA
RY,1980,171.9,NA,NA
Catch_RY,1980,0.999695,NA,NA
R,1981,30.1195,23.3284,38.8876
SSB,1981,746.313,631.836,881.53
Depletion,1981,0.264442,0.250646,0.278999
B_Bmsy,1981,0.802332,NA,NA
Catch,1981,211.534,NA,NA
RY,1981,228.89,NA,NA
Catch_RY,1981,0.924173,NA,NA
R,1982,29.347,22.7302,37.8901
SSB,1982,761.338,654.679,885.374
Depletion,1982,0.269766,0.259707,0.280215
B_Bmsy,1982,0.818485,NA,NA
Catch,1982,307.078,NA,NA
RY,1982,369.455,NA,NA
Catch_RY,1982,0.831166,NA,NA
R,1983,18.4038,13.6171,24.8731
SSB,1983,815.572,712.549,933.491
Depletion,1983,0.288983,0.282664,0.295444
B_Bmsy,1983,0.87679,NA,NA
Catch,1983,339.59,NA,NA
RY,1983,469.837,NA,NA
Catch_RY,1983,0.722783,NA,NA
R,1984,20.8916,15.9937,27.2893
SSB,1984,931.528,809.656,1071.75
Depletion,1984,0.33007,0.321186,0.3392
B_Bmsy,1984,1.00145,NA,NA
Catch,1984,364.993,NA,NA
RY,1984,443.392,NA,NA
Catch_RY,1984,0.823184,NA,NA
R,1985,18.9652,13.9896,25.7104
SSB,1985,1002.8,856.313,1174.34
Depletion,1985,0.355323,0.339694,0.37167
B_Bmsy,1985,1.07807,NA,NA
Catch,1985,386.184,NA,NA
RY,1985,383.495,NA,NA
Catch_RY,1985,1.00701,NA,NA
R,1986,10.1115,6.10639,16.7434
SSB,1986,998.368,840.43,1185.99
Depletion,1986,0.353754,0.333394,0.375357
B_Bmsy,1986,1.07331,NA,NA
Catch,1986,381.189,NA,NA
RY,1986,328.66,NA,NA
Catch_RY,1986,1.15983,NA,NA
R,1987,10.6122,7.17247,15.7017
SSB,1987,947.07,792.101,1132.36
Depletion,1987,0.335577,0.314222,0.358384
B_Bmsy,1987,1.01816,NA,NA
Catch,1987,300.249,NA,NA
RY,1987,256.14,NA,NA
Catch_RY,1987,1.17221,NA,NA
R,1988,11.6466,8.75973,15.4849
SSB,1988,904.294,763.999,1070.35
Depletion,1988,0.32042,0.303074,0.338759
B_Bmsy,1988,0.972172,NA,NA
Catch,1988,336,NA,NA
RY,1988,199.349,NA,NA
Catch_RY,1988,1.68549,NA,NA
R,1989,5.70575,4.2302,7.696
SSB,1989,773.559,658.128,909.236
Depletion,1989,0.274097,0.261076,0.287767
B_Bmsy,1989,0.831623,NA,NA
Catch,1989,309.329,NA,NA
RY,1989,164.348,NA,NA
Catch_RY,1989,1.88216,NA,NA
R,1990,7.6362,5.92637,9.83934
SSB,1990,636.251,548.535,737.993
Depletion,1990,0.225444,0.217601,0.23357
B_Bmsy,1990,0.684008,NA,NA
Catch,1990,132.379,NA,NA
RY,1990,137.684,NA,NA
Catch_RY,1990,0.961471,NA,NA
R,1991,8.17848,6.57671,10.1704
SSB,1991,640.894,572.621,717.307
Depletion,1991,0.227089,0.227156,0.227023
B_Bmsy,1991,0.689,NA,NA
Catch,1991,56.135,NA,NA
RY,1991,117.576,NA,NA
Catch_RY,1991,0.477434,NA,NA
R,1992,6.45182,5.18415,8.02946
SSB,1992,698.353,642.578,758.97
Depletion,1992,0.247449,0.254907,0.240209
B_Bmsy,1992,0.750773,NA,NA
Catch,1992,87.497,NA,NA
RY,1992,105.1,NA,NA
Catch_RY,1992,0.832513,NA,NA
R,1993,7.51653,6.1346,9.20976
SSB,1993,714.556,666.693,765.856
Depletion,1993,0.25319,0.264473,0.242388
B_Bmsy,1993,0.768192,NA,NA
Catch,1993,108,NA,NA
RY,1993,93.8815,NA,NA
Catch_RY,1993,1.15039,NA,NA
R,1994,8.96729,7.47658,10.7552
SSB,1994,701.542,657.042,749.056
Depletion,1994,0.248579,0.260645,0.237071
B_Bmsy,1994,0.754201,NA,NA
Catch,1994,112.206,NA,NA
RY,1994,96.1215,NA,NA
Catch_RY,1994,1.16734,NA,NA
R,1995,7.60459,6.22289,9.29307
SSB,1995,686.799,643.524,732.983
Depletion,1995,0.243355,0.255282,0.231984
B_Bmsy,1995,0.738351,NA,NA
Catch,1995,130.362,NA,NA
RY,1995,103.809,NA,NA
Catch_RY,1995,1.25579,NA,NA
R,1996,6.96255,5.6187,8.6278
SSB,1996,662.626,619.501,708.754
Depletion,1996,0.23479,0.245752,0.224316
B_Bmsy,1996,0.712364,NA,NA
Catch,1996,129.102,NA,NA
RY,1996,105.972,NA,NA
Catch_RY,1996,1.21826,NA,NA
R,1997,7.49695,6.06736,9.26338
SSB,1997,642.081,598.05,689.354
Depletion,1997,0.22751,0.237243,0.218176
B_Bmsy,1997,0.690277,NA,NA
Catch,1997,116.593,NA,NA
RY,1997,107.841,NA,NA
Catch_RY,1997,1.08116,NA,NA
R,1998,9.20614,7.58592,11.1724
SSB,1998,634.467,589.493,682.872
Depletion,1998,0.224812,0.233849,0.216125
B_Bmsy,1998,0.682091,NA,NA
Catch,1998,106.788,NA,NA
RY,1998,112.922,NA,NA
Catch_RY,1998,0.945679,NA,NA
R,1999,7.08493,5.68528,8.82915
SSB,1999,640.355,595.478,688.614
Depletion,1999,0.226898,0.236223,0.217942
B_Bmsy,1999,0.688421,NA,NA
Catch,1999,166.562,NA,NA
RY,1999,119.595,NA,NA
Catch_RY,1999,1.39272,NA,NA
R,2000,7.82612,6.34091,9.65921
SSB,2000,596.965,552.742,644.725
Depletion,2000,0.211524,0.21927,0.204051
B_Bmsy,2000,0.641774,NA,NA
Catch,2000,162.803,NA,NA
RY,2000,127.369,NA,NA
Catch_RY,2000,1.2782,NA,NA
R,2001,12.019,10.1059,14.2942
SSB,2001,563.906,520.268,611.205
Depletion,2001,0.19981,0.206387,0.193442
B_Bmsy,2001,0.606234,NA,NA
Catch,2001,173.277,NA,NA
RY,2001,142.613,NA,NA
Catch_RY,2001,1.21502,NA,NA
R,2002,11.1902,9.39672,13.326
SSB,2002,534.908,492.592,580.859
Depletion,2002,0.189535,0.195408,0.183838
B_Bmsy,2002,0.575059,NA,NA
Catch,2002,154.619,NA,NA
RY,2002,174.251,NA,NA
Catch_RY,2002,0.887337,NA,NA
R,2003,9.68925,8.02887,11.693
SSB,2003,551.743,509.683,597.274
Depletion,2003,0.1955,0.202188,0.189033
B_Bmsy,2003,0.593157,NA,NA
Catch,2003,189.305,NA,NA
RY,2003,194.188,NA,NA
Catch_RY,2003,0.974856,NA,NA
R,2004,9.07363,7.41271,11.1067
SSB,2004,554.291,509.156,603.427
Depletion,2004,0.196403,0.201979,0.190981
B_Bmsy,2004,0.595897,NA,NA
Catch,2004,173.902,NA,NA
RY,2004,191.384,NA,NA
Catch_RY,2004,0.908656,NA,NA
R,2005,7.82814,6.25973,9.78954
SSB,2005,569.076,518.842,624.174
Depletion,2005,0.201642,0.205822,0.197547
B_Bmsy,2005,0.611792,NA,NA
Catch,2005,158.06,NA,NA
RY,2005,173.313,NA,NA
Catch_RY,2005,0.91199,NA,NA
R,2006,10.8546,8.79225,13.4006
SSB,2006,582.024,527.018,642.772
Depletion,2006,0.20623,0.209065,0.203433
B_Bmsy,2006,0.625712,NA,NA
Catch,2006,135.771,NA,NA
RY,2006,163.487,NA,NA
Catch_RY,2006,0.83047,NA,NA
R,2007,11.2354,9.12237,13.8378
SSB,2007,606.763,548.232,671.543
Depletion,2007,0.214995,0.21748,0.212539
B_Bmsy,2007,0.652307,NA,NA
Catch,2007,125.534,NA,NA
RY,2007,172.01,NA,NA
Catch_RY,2007,0.729808,NA,NA
R,2008,11.5961,9.54698,14.0851
SSB,2008,649.121,587.136,717.651
Depletion,2008,0.230004,0.232913,0.227132
B_Bmsy,2008,0.697845,NA,NA
Catch,2008,127.212,NA,NA
RY,2008,188.428,NA,NA
Catch_RY,2008,0.675124,NA,NA
R,2009,7.90967,6.2921,9.94309
SSB,2009,705.043,637.636,779.576
Depletion,2009,0.249819,0.252946,0.246731
B_Bmsy,2009,0.757964,NA,NA
Catch,2009,141.615,NA,NA
RY,2009,184.921,NA,NA
Catch_RY,2009,0.765814,NA,NA
R,2010,8.85492,7.01892,11.1712
SSB,2010,744.439,670.945,825.983
Depletion,2010,0.263779,0.26616,0.261418
B_Bmsy,2010,0.800318,NA,NA
Catch,2010,148.309,NA,NA
RY,2010,164.199,NA,NA
Catch_RY,2010,0.903226,NA,NA
R,2011,9.36309,7.43595,11.7897
SSB,2011,758.587,680.358,845.81
Depletion,2011,0.268792,0.269894,0.267693
B_Bmsy,2011,0.815528,NA,NA
Catch,2011,150.025,NA,NA
RY,2011,143.485,NA,NA
Catch_RY,2011,1.04558,NA,NA
R,2012,7.13585,5.57374,9.13575
SSB,2012,751.825,670.699,842.763
Depletion,2012,0.266395,0.266062,0.266729
B_Bmsy,2012,0.808258,NA,NA
Catch,2012,149.094,NA,NA
RY,2012,131.541,NA,NA
Catch_RY,2012,1.13344,NA,NA
R,2013,7.81502,6.16006,9.9146
SSB,2013,734.756,651.119,829.138
Depletion,2013,0.260348,0.258295,0.262417
B_Bmsy,2013,0.789908,NA,NA
Catch,2013,151.675,NA,NA
RY,2013,120.511,NA,NA
Catch_RY,2013,1.2586,NA,NA
R,2014,9.54268,7.55542,12.0526
SSB,2014,705.185,619.643,802.535
Depletion,2014,0.24987,0.245809,0.253997
B_Bmsy,2014,0.758117,NA,NA
Catch,2014,129.075,NA,NA
RY,2014,115.651,NA,NA
Catch_RY,2014,1.11607,NA,NA
R,2015,13.7423,11.16,16.9221
SSB,2015,692.224,606.934,789.5
Depletion,2015,0.245277,0.240767,0.249872
B_Bmsy,2015,0.744184,NA,NA
Catch,2015,141.693,NA,NA
RY,2015,136.263,NA,NA
Catch_RY,2015,1.03985,NA,NA
R,2016,9.98344,7.98211,12.4866
SSB,2016,686.501,603.535,780.872
Depletion,2016,0.243249,0.239419,0.247141
B_Bmsy,2016,0.738031,NA,NA
Catch,2016,155.323,NA,NA
RY,2016,166.293,NA,NA
Catch_RY,2016,0.934033,NA,NA
R,2017,8.16591,6.46718,10.3108
SSB,2017,695.605,613.97,788.093
Depletion,2017,0.246475,0.243558,0.249426
B_Bmsy,2017,0.747818,NA,NA
Catch,2017,156.323,NA,NA
RY,2017,172.669,NA,NA
Catch_RY,2017,0.905335,NA,NA
R,2018,8.68837,6.9025,10.9363
SSB,2018,709.875,626.88,803.858
Depletion,2018,0.251531,0.24868,0.254416
B_Bmsy,2018,0.763159,NA,NA
Catch,2018,154.234,NA,NA
RY,2018,151.028,NA,NA
Catch_RY,2018,1.02123,NA,NA
R,2019,11.712,9.57238,14.33
SSB,2019,706.906,623.523,801.439
Depletion,2019,0.250479,0.247348,0.25365
B_Bmsy,2019,0.759967,NA,NA
Catch,2019,151.985,NA,NA
RY,2019,141.509,NA,NA
Catch_RY,2019,1.07403,NA,NA
R,2020,13.9162,11.5164,16.816
SSB,2020,697.191,616.629,788.279
Depletion,2020,0.247037,0.244613,0.249485
B_Bmsy,2020,0.749523,NA,NA
Catch,2020,134.193,NA,NA
RY,2020,165.712,NA,NA
Catch_RY,2020,0.809797,NA,NA
R,2021,13.1353,10.7167,16.0998
SSB,2021,726.353,650.515,811.032
Depletion,2021,0.25737,0.258056,0.256686
B_Bmsy,2021,0.780874,NA,NA
Catch,2021,160.557,NA,NA
RY,2021,197.761,NA,NA
Catch_RY,2021,0.811873,NA,NA
R,2022,8.23949,6.22823,10.9002
SSB,2022,760.654,689.074,839.669
Depletion,2022,0.269524,0.273352,0.26575
B_Bmsy,2022,0.81775,NA,NA
Catch,2022,162.481,NA,NA
RY,2022,198.631,NA,NA
Catch_RY,2022,0.818004,NA,NA
R,2023,7.8363,5.57569,11.0134
SSB,2023,794.015,722.289,872.864
Depletion,2023,0.281345,0.286528,0.276256
B_Bmsy,2023,0.853615,NA,NA
Catch,2023,171.068,NA,NA
RY,2023,162.13,NA,NA
Catch_RY,2023,1.05513,NA,NA
R,2024,7.63761,4.96521,11.7484
SSB,2024,785.751,707.966,872.082
Depletion,2024,0.278417,0.280846,0.276008
B_Bmsy,2024,0.84473,NA,NA
Catch,2024,169.127,NA,NA
RY,2024,125.144,NA,NA
Catch_RY,2024,1.35146,NA,NA
R,2025,4.12019,2.19943,7.71837
SSB,2025,744.861,655.257,846.717
Depletion,2025,0.263928,0.259937,0.26798
B_Bmsy,2025,0.800771,NA,NA
Catch,2025,154.34,NA,NA
RY,2025,96.164,NA,NA
Catch_RY,2025,1.60497,NA,NA
R,2026,14.3151,4.03878,50.7388
SSB,2026,690.737,584.666,816.053
Depletion,2026,0.24475,0.231933,0.258275
B_Bmsy,2026,0.742585,NA,NA
Catch,2026,133.001,NA,NA
RY,2026,98.4895,NA,NA
Catch_RY,2026,1.35041,NA,NA
