Variable, Year, value, ymin, ymax
Cur_B0,NA,0.172921,0.134468,0.211375
Cur_Bmsy,NA,0.447191,0.365576,0.528807
Cur_90,NA,1.04509,0.845445,1.24474
aveRY_90,NA,142.235,127.672,156.798
aveRY_last5,NA,154.351,130.679,178.023
R,1964,21.0026,18.4557,23.9009
SSB,1964,3111.81,2734.45,3541.24
Depletion,1964,1,1,1
B_Bmsy,1964,2.5861,NA,NA
Catch,1964,47.852,NA,NA
RY,1964,2.74292e-05,NA,NA
Catch_RY,1964,1.74457e+06,NA,NA
R,1965,20.9305,18.3842,23.8296
SSB,1965,3069.55,2692.56,3499.32
Depletion,1965,0.986419,0.98468,0.988161
B_Bmsy,1965,2.55098,NA,NA
Catch,1965,193.2,NA,NA
RY,1965,7.34227,NA,NA
Catch_RY,1965,26.3134,NA,NA
R,1966,26.5374,20.731,33.9699
SSB,1966,2905.36,2529.96,3336.45
Depletion,1966,0.933655,0.925216,0.942171
B_Bmsy,1966,2.41452,NA,NA
Catch,1966,334.627,NA,NA
RY,1966,56.093,NA,NA
Catch_RY,1966,5.96558,NA,NA
R,1967,37.1323,29.7807,46.2986
SSB,1967,2658.89,2294.38,3081.31
Depletion,1967,0.854452,0.839064,0.870121
B_Bmsy,1967,2.20969,NA,NA
Catch,1967,394.445,NA,NA
RY,1967,183.461,NA,NA
Catch_RY,1967,2.15002,NA,NA
R,1968,31.9477,25.2466,40.4274
SSB,1968,2471.03,2133.77,2861.6
Depletion,1968,0.794083,0.780329,0.80808
B_Bmsy,1968,2.05358,NA,NA
Catch,1968,630.392,NA,NA
RY,1968,339.74,NA,NA
Catch_RY,1968,1.85551,NA,NA
R,1969,37.6505,30.2786,46.8172
SSB,1969,2209.86,1912.76,2553.11
Depletion,1969,0.710154,0.699503,0.720967
B_Bmsy,1969,1.83653,NA,NA
Catch,1969,526.657,NA,NA
RY,1969,492.9,NA,NA
Catch_RY,1969,1.06849,NA,NA
R,1970,28.1719,21.9427,36.1694
SSB,1970,2176.19,1919.29,2467.47
Depletion,1970,0.699332,0.701891,0.696782
B_Bmsy,1970,1.80854,NA,NA
Catch,1970,627.198,NA,NA
RY,1970,546.958,NA,NA
Catch_RY,1970,1.1467,NA,NA
R,1971,21.3753,16.1976,28.2081
SSB,1971,2097.31,1878.64,2341.45
Depletion,1971,0.673985,0.687024,0.661194
B_Bmsy,1971,1.74299,NA,NA
Catch,1971,595.215,NA,NA
RY,1971,519.475,NA,NA
Catch_RY,1971,1.1458,NA,NA
R,1972,27.9418,22.1769,35.2052
SSB,1972,2021.44,1828.7,2234.5
Depletion,1972,0.649604,0.668762,0.630994
B_Bmsy,1972,1.67994,NA,NA
Catch,1972,820.11,NA,NA
RY,1972,457.574,NA,NA
Catch_RY,1972,1.7923,NA,NA
R,1973,27.4342,21.8803,34.3979
SSB,1973,1674.54,1493.79,1877.15
Depletion,1973,0.538123,0.546285,0.530084
B_Bmsy,1973,1.39164,NA,NA
Catch,1973,667.965,NA,NA
RY,1973,450.753,NA,NA
Catch_RY,1973,1.48189,NA,NA
R,1974,22.5296,17.6994,28.678
