Variable, Year, value, ymin, ymax
Cur_B0,NA,0.280577,0.122176,0.438978
Cur_Bmsy,NA,0.66059,0.32023,1.00095
Cur_90,NA,2.06101,1.10988,3.01215
aveRY_90,NA,173.742,127.4,220.083
aveRY_last5,NA,350.406,186.918,513.895
R,1964,40.872,29.3022,57.0102
SSB,1964,6055.73,4341.5,8446.81
Depletion,1964,1,1,1
B_Bmsy,1964,2.3544,NA,NA
Catch,1964,47.852,NA,NA
RY,1964,3.8133e-05,NA,NA
Catch_RY,1964,1.25487e+06,NA,NA
R,1965,40.7406,29.1939,56.8544
SSB,1965,6010.86,4299.2,8403.98
Depletion,1965,0.99259,0.990257,0.994929
B_Bmsy,1965,2.33696,NA,NA
Catch,1965,193.2,NA,NA
RY,1965,3.37731,NA,NA
Catch_RY,1965,57.2052,NA,NA
R,1966,38.2779,26.8414,54.5871
SSB,1966,5832.78,4132.33,8232.95
Depletion,1966,0.963184,0.951822,0.974681
B_Bmsy,1966,2.26772,NA,NA
Catch,1966,334.627,NA,NA
RY,1966,11.6516,NA,NA
Catch_RY,1966,28.7193,NA,NA
R,1967,46.19,33.8076,63.1074
SSB,1967,5529.76,3862.93,7915.82
Depletion,1967,0.913145,0.889768,0.937137
B_Bmsy,1967,2.14991,NA,NA
Catch,1967,394.445,NA,NA
RY,1967,54.2615,NA,NA
Catch_RY,1967,7.26933,NA,NA
R,1968,36.8641,26.8899,50.538
SSB,1968,5209.26,3605.22,7526.99
Depletion,1968,0.860221,0.830408,0.891104
B_Bmsy,1968,2.02531,NA,NA
Catch,1968,630.392,NA,NA
RY,1968,111.933,NA,NA
Catch_RY,1968,5.63189,NA,NA
R,1969,41.5226,31.4894,54.7526
SSB,1969,4719.59,3218.24,6921.34
Depletion,1969,0.77936,0.741274,0.819403
B_Bmsy,1969,1.83493,NA,NA
Catch,1969,526.657,NA,NA
RY,1969,183.084,NA,NA
Catch_RY,1969,2.87659,NA,NA
R,1970,29.3484,21.6919,39.7076
SSB,1970,4391.21,3002.74,6421.69
Depletion,1970,0.725133,0.691637,0.760251
B_Bmsy,1970,1.70725,NA,NA
Catch,1970,627.198,NA,NA
RY,1970,208.85,NA,NA
Catch_RY,1970,3.0031,NA,NA
R,1971,19.2527,13.5609,27.3335
SSB,1971,3990.47,2731.83,5829.01
Depletion,1971,0.658958,0.629236,0.690084
B_Bmsy,1971,1.55145,NA,NA
Catch,1971,595.215,NA,NA
RY,1971,170.553,NA,NA
Catch_RY,1971,3.48991,NA,NA
R,1972,29.7641,22.2505,39.8148
SSB,1972,3584.75,2463.49,5216.35
Depletion,1972,0.59196,0.567429,0.617553
B_Bmsy,1972,1.39371,NA,NA
Catch,1972,820.11,NA,NA
RY,1972,123.323,NA,NA
Catch_RY,1972,6.65012,NA,NA
R,1973,28.815,21.4236,38.7565
SSB,1973,2922.95,1955.14,4369.85
Depletion,1973,0.482676,0.450336,0.517337
B_Bmsy,1973,1.13641,NA,NA
Catch,1973,667.965,NA,NA
RY,1973,157.744,NA,NA
